Date,AvgTemp,LowTemp,HighTemp,Precipitation,MaxWindSpeed,MaxWindDirection,AvgWindSpeed,AvgRelativeHumidity,AvgSteamPressure,DaylightHours,CloudAmount,EvaporationLoss
1907-12-11,-2.3,-7.1,0.6,0,7.7,50,1.5,76.7,4,4.1,7.3,1.1
1907-12-12,-0.1,-3.1,3.8,8.4,6.1,320,2.1,80.7,4.8,6,3.7,1.3
1907-12-13,4,-3.5,9,0.7,5.4,290,2.5,74.7,6.2,0.4,7.3,0.6
1907-12-14,-6,-9.9,6.4,,9.2,320,7.6,61.7,2.4,8.8,0,3.5
1907-12-15,-8.1,-11.9,-5.1,,3.7,270,2.1,57.3,1.9,8.1,0,2.2
1907-12-16,-7.3,-11.9,-2.4,,6,270,2,55.3,1.8,8.6,0,2.1
1907-12-17,-7.3,-13.2,-2.1,,2.4,50,1.1,51.3,1.6,8.4,2.7,1.3
1907-12-18,-5.5,-12.3,-0.4,,5.4,320,1.5,53.3,2.2,8.4,3.7,1.3
1907-12-19,-6.5,-11.9,-0.2,,2.3,250,1.2,50.3,1.9,8.8,0,1.4
1907-12-20,-2.9,-8.1,1.9,9.6,16,320,8.2,71.7,3.7,0.1,10,1
1907-12-21,-12.1,-14.8,-8.1,,9.9,320,8.4,70.7,1.7,8.1,1.7,2.1
1907-12-22,-13.4,-18,-10.2,,5.1,320,4.3,67.7,14.6,8.3,0,1.4
1907-12-23,-13.3,-20.1,-9.4,,4.9,90,1.7,65.3,1.2,8.4,3.3,0.9
1907-12-24,-3.2,-9.7,0.9,0.2,5.2,90,3.5,79,3.9,0,10,1.7
1907-12-25,3.5,1.1,6.8,,3.3,70,1.4,90.7,7.2,1.3,10,0.8
1907-12-26,3.2,-1.9,6.4,0.2,7.7,270,3.8,78.7,6.2,1.2,6,1
1907-12-27,-3.8,-6.3,-0.7,,4.7,270,4,63.7,2.9,8.4,3,1.7
1907-12-28,-4.6,-9.6,-1.9,1.1,8.7,290,4,62.3,2.8,7.4,6,1.2
1907-12-29,-9,-13.5,-4.4,,4.1,140,3.3,61,1.8,8.2,0,2.1
1907-12-30,-9.2,-14.2,-6.1,,2.6,230,2.2,69,2.1,7.2,3.7,1.7
1907-12-31,-4,-7.1,-2.1,0.4,3.4,50,2.2,73.7,3.4,0,10,1.3
1908-01-01,-5.9,-9.1,-1.3,0,5.4,320,3.5,55.3,2.1,8.5,0,1.3
1908-01-02,-7.7,-13.9,-3,0,3.2,290,1.5,64.7,2.4,4.9,3.3,1.4
1908-01-03,-6.2,-10.8,-2.9,0,7.3,320,3.9,57,2.1,8.4,0,1.3
1908-01-04,-7.5,-12.8,-1.7,0,6.8,250,1.8,59.7,2,8.7,0.7,1.8
1908-01-05,-4.8,-11.3,-0.1,0,1.5,160,0.9,56.3,2.5,2.2,8.3,1.1
1908-01-06,-1.1,-5.1,2.9,0,6.1,270,1.4,71,3.9,5.2,10,1.3
1908-01-07,-4.4,-6.7,-1.2,0.2,6.6,290,4.1,78,3.4,3.2,6,1.7
1908-01-08,-6.3,-10.4,-0.9,0,4.4,270,2.3,62,2.3,8,0.3,1.3
1908-01-09,-3.2,-9.3,2,0,1.3,140,1.1,66,3.2,2.3,10,1
1908-01-10,0.3,-4.5,3.3,0,2.4,20,1.8,71,4.4,1,9.3,1.2
1908-01-11,1.7,-1,4.8,2.4,3.7,270,1.9,90.3,6.2,3,7,1.2
1908-01-12,2,-1.3,4.5,0.4,1.8,20,0.2,88,6.2,2.5,7.7,0.9
1908-01-13,1.4,-3.7,4.7,0.1,5.5,290,2.7,74.7,5.1,7,4,1
1908-01-14,-3.2,-7.4,0.1,0,2.5,20,1.2,60,2.8,7.8,6.3,1
1908-01-15,-1.9,-4.5,0.9,,4.9,290,3.8,54.7,2.8,6.3,7,1.6
1908-01-16,-8.9,-11.2,-4.5,,8.2,320,5.2,56,1.7,8.4,0,1.5
1908-01-17,-6.5,-11.3,-3.6,0.5,6.7,70,3.8,61,2.3,,10,1.6
1908-01-18,1.1,-3.9,2.8,0.5,0.5,50,1.9,92,6.1,,10,0.3
1908-01-19,1.7,1.3,2.8,2.8,2.6,70,2,94.7,6.5,,10,0.5
1908-01-20,-1.1,-7.4,2.3,3.6,9.6,270,5.6,74.7,4.4,4.3,4.3,2.7
1908-01-21,-9.1,-11.2,-6.1,,5.7,270,4.2,62,1.9,9.1,0,2.2
1908-01-22,-9.7,-14.3,-5.1,0,0.2,0,1.3,63.7,2.1,8.9,0,1.3
1908-01-23,-7.1,-13.4,-2.7,0.1,2.7,250,0.8,67.3,2.5,5.9,7.7,1.2
1908-01-24,-2,-4.7,0.1,0.1,1.6,90,0.4,77.7,4,,9.3,0.6
1908-01-25,-1.2,-2.4,0.3,0.6,4.6,270,1.7,85,4.3,,10,1.1
1908-01-26,-4.1,-6.4,-0.6,0,2.4,50,2.3,84.3,3.8,3.1,6,0.7
1908-01-27,-4.4,-9.9,0,0,5.7,320,3.9,73.7,3.2,8.7,5.7,0.5
1908-01-28,-6.1,-10.8,-1.3,,2.3,140,1.4,73,2.8,8.9,0,0.7
1908-01-29,-3.5,-10.7,0.8,0,2.4,90,0.8,62.7,3,8,6.7,1.2
1908-01-30,-1.1,-2.2,0.8,0.9,5.3,90,1.3,76,4.3,,10,0.8
1908-01-31,1.4,-2.4,6.2,6,4.4,90,1.1,80.3,5.4,4.9,7,1.3
1908-02-01,-2.2,-6.4,1.6,0,1.5,270,1.1,78.7,4.1,1.8,9.3,0.9
1908-02-02,-3.1,-7.5,-0.2,,6.5,320,3.5,68.3,3.3,9.5,1.3,1.8
1908-02-03,-8,-10.8,-5.4,0,7.2,320,3.1,62.7,2.1,8.4,8.3,2
1908-02-04,-7,-10.3,-4.1,,2.9,230,2.9,59.7,2.1,4.1,10,1.6
1908-02-05,-8.5,-11.6,-5.5,,11,320,5.5,55,1.7,8.8,4.3,1.3
1908-02-06,-10.4,-13.3,-5.7,,6.1,270,5.5,58,1.5,9.5,1,1.6
1908-02-07,-9.6,-15.8,-3.7,0,3.2,270,1.8,57,1.6,9.3,1.7,1.5
1908-02-08,-5,-11.3,1.3,0.4,7.2,270,3.1,63.7,2.6,5.2,3,1.4
1908-02-09,-7.6,-11.4,-4.1,,4.8,270,4.1,48.3,1.7,7.2,0.3,2
1908-02-10,-7,-10.6,-2.5,,6.9,270,2.8,53.7,1.8,8.7,6.7,1.7
1908-02-11,-6.4,-9.9,-2.8,,6.4,320,3.1,55.3,2,8.5,1,1.6
1908-02-12,-7,-12.4,-1.2,0,1.5,230,2.1,65.7,2.3,9.3,2.7,1.7
1908-02-13,-5.3,-12.3,1.3,0,3.6,320,1.3,64.3,2.5,9.6,6.7,1.4
1908-02-14,-3.3,-7.5,2.3,0,4.6,270,2,66.7,3.1,7.4,5,1.6
1908-02-15,-3.9,-9.8,2,0,6.3,320,2.4,59.3,2.5,9.7,3.7,1.8
1908-02-16,-5.2,-8.8,-1.4,,8.7,320,5,54.3,2.2,10,1.7,2.3
1908-02-17,-7.5,-13,-1.6,0,6.4,270,3,51.3,1.6,10.1,0.7,1.8
1908-02-18,-5.6,-12.9,0.3,0,3.3,270,2.3,56.7,2.2,10.1,0.3,1.9
1908-02-19,-3.3,-11,5.5,0,3.7,270,1.5,66.3,3.1,10.1,0,1.7
1908-02-20,-0.7,-8.4,7.3,0,2.8,230,1.6,67.7,3.8,10.1,2,1.7
1908-02-21,-0.4,-4.7,5.1,0,5.7,270,1.5,79.3,4.7,5.5,7.3,1.4
1908-02-22,-0.1,-3.8,5.4,0,4.9,270,2.4,73.3,4.3,6.6,3.7,1.8
1908-02-23,-2.6,-6.2,2.7,0,6.6,270,3.6,60,2.8,8.7,2.7,2.3
1908-02-24,-3.6,-7.8,1.7,,7.7,320,3.7,48.3,2,10.1,3.3,2.5
1908-02-25,-4.1,-8.7,0.8,0,4.4,360,2.5,64,2.5,7.6,5.7,2.1
1908-02-26,-2.3,-7.9,4.1,0,2.4,180,0.9,61.7,3,9.8,3.3,1.9
1908-02-27,2.3,-6.3,8.4,0,2.4,90,1.2,57.7,4,5.6,6.7,2
1908-02-28,5.1,2.6,6.3,23.1,9.9,50,8,86,7.5,,10,1
1908-02-29,4.6,3.5,5.6,5.6,2.9,50,3,92,7.7,,10,1.4
1908-03-01,0.7,-4.8,4,0.3,7.6,320,5.9,68.7,4.6,2.5,6.7,1.6
1908-03-02,-3.8,-7.4,0.1,,2.2,140,2.4,65,2.9,10.4,2.7,2.4
1908-03-03,1.9,-2.7,4.9,0,4.4,90,4.1,63,4.4,1.2,9,2.1
1908-03-04,2,0.8,4,2.4,5.7,50,3.9,85.3,6,0,10,1.4
1908-03-05,3,-0.2,7.9,,1.6,90,1.5,74,5.5,5.4,9.3,2
1908-03-06,3.3,-0.5,7.9,0,2.3,90,1,78,5.9,3.4,10,1.4
1908-03-07,0.6,-1.6,2.2,0.1,11.5,360,4.3,75.7,4.8,8,9,1.8
1908-03-08,-1.8,-4.9,1.9,,5.7,270,3.1,56.3,2.9,9.9,7,2.5
1908-03-09,-1.2,-3.5,1.5,,2.2,270,2.3,67.7,3.7,1.8,10,1.7
1908-03-10,-0.6,-1.8,1.5,0.4,8.3,320,3.9,75,4.3,7.1,9.3,2.1
1908-03-11,-1.9,-4.5,1.8,,8.5,320,8.1,45,2.4,10.8,5,1.9
1908-03-12,-1.7,-5.3,2.6,,8.5,320,3.9,40.3,2.1,10.6,0.7,3.2
1908-03-13,-1.3,-5.9,3.8,,9.7,290,5.2,48.7,2.5,10.9,0,3.5
1908-03-14,0,-5.2,6.7,,3.9,270,2.6,54,3.5,11.2,0,3.7
1908-03-15,4.7,-2.2,11.8,0,4.7,290,3.2,70.7,5.7,10.3,4,3.9
1908-03-16,6,-1.4,13.5,0,2.2,50,1.6,77.3,7.1,4.9,9.7,2.7
1908-03-17,9.1,3.8,15.7,,3.1,250,2.4,72,8,7,4.7,3.4
1908-03-18,4.6,0.7,10.7,,6.2,270,3.6,66,5.4,10.6,5,3.5
1908-03-19,2,-1.3,7.9,,6.7,270,3.5,59.3,4.1,4.8,7,2.6
1908-03-20,0.1,-3.9,4.3,,7.4,320,5.5,45,2.6,10.8,0,4
1908-03-21,1.4,-1.8,6,,8.1,290,4.3,48.3,3,11.5,0,4
1908-03-22,2.9,-4.5,12.5,,6.4,290,2.5,59,4,11.4,0.3,4.6
1908-03-23,7.9,-0.4,17,,11.6,250,5.1,69.3,7.6,7.4,6.7,3.5
1908-03-24,7.7,2.7,14.7,0,6.7,320,3.6,60.7,5.9,10.2,3.3,4
1908-03-25,5.4,-0.3,11.4,,3.8,230,1.7,61,5.2,3.1,6.7,2.9
1908-03-26,3.3,-2.2,7.4,,8.2,270,5.5,41.3,3.1,11.7,0.3,4.9
1908-03-27,0.8,-5.8,8,,4.7,270,2.8,54.3,3.2,11.5,0.7,4.6
1908-03-28,8.1,-1.8,15.5,,4.7,180,2.6,44.7,4.7,9,7.3,3.9
1908-03-29,12.7,7.4,18.2,9.1,15.2,230,7.4,76.3,11.2,0.2,10,2.5
1908-03-30,8.1,5.3,11.4,0.1,7.7,270,6.3,49,5.2,10.3,4.3,4.4
1908-03-31,6.5,-0.2,13.2,,1.3,270,1.8,68.7,6.4,9.9,10,3.2
1908-04-01,8.5,5.1,14.8,,7.1,320,4,60.7,6.3,9.6,7.3,4.4
1908-04-02,8.3,4.1,14.9,,5.2,250,4,67.3,7,11.8,10,4.6
1908-04-03,8.4,4.4,11.1,0,2.2,90,1.6,79,8.6,0,10,2.7
1908-04-04,11.3,7.5,15,,10.7,50,5.8,51,6.6,10.4,8,5.2
1908-04-05,7.4,6.5,9.9,0.5,8.7,50,4.9,77,7.9,0,10,3.4
1908-04-06,6.8,4.6,10.6,,9.7,290,6.7,65.3,6.3,9.7,7.7,4.4
1908-04-07,6.5,-0.7,13.6,,2.7,230,2.1,60.3,5.3,10.9,8.3,4
1908-04-08,10.2,4.8,17.2,,7.6,50,4.9,62.3,8.2,11,4,6.7
1908-04-09,10.5,5.1,16.9,,6.7,360,5.8,45.3,5.6,11.5,9.7,8.3
1908-04-10,10.9,6.6,17.1,,5.7,50,4.4,45.7,5.4,8.7,10,6
1908-04-11,10.4,7.1,13.6,0,7.2,140,2.5,60,7.2,0.4,10,3.4
1908-04-12,8.6,6.9,9.4,2.2,4.4,320,1.8,82.3,9.1,0.1,10,2.5
1908-04-13,7.7,2.9,14.1,,5.9,320,4.5,56.7,5.5,11.5,0.7,5.2
1908-04-14,7.1,0.1,14.8,,2.4,320,2.5,63,5.9,10.1,5,3.9
1908-04-15,8.9,0.6,18.6,,7.4,270,2.6,61.7,6.4,11.1,7,5
1908-04-16,8.4,4.2,14.4,,6.4,320,3.2,73,7.7,9.7,7.3,4.2
1908-04-17,9.8,1.9,18.8,0,3.1,270,3.2,62.7,6.7,12.2,0,5.6
1908-04-18,11,2,20.4,,5.3,320,2.9,55.7,6.5,12.2,0.3,5.8
1908-04-19,11.8,3,22.7,,6.8,270,2.1,58.7,7.3,12.3,0.3,6.7
1908-04-20,14.4,4.7,22.9,,6.7,230,3.6,69.7,11.3,9,3.7,6.5
1908-04-21,14,11.3,17.4,12,3.3,230,3.3,86.3,13.6,4.9,10,2.7
1908-04-22,14.2,10.2,21.1,,5.7,200,2.8,71.7,12.3,8.5,5.7,4.2
1908-04-23,14,5.3,21.6,0,4.7,180,3.3,62.3,9.5,9.6,6.7,4.9
1908-04-24,10.8,4.2,20.9,2.3,6.4,230,4.8,81.3,10.9,1.4,10,3.3
1908-04-25,8,3.4,13.3,,4.7,320,4.4,61,6.3,9,10,5.2
1908-04-26,10.1,6.4,16.4,,3.8,320,3.3,57.3,6.6,9.7,4,6.1
1908-04-27,9.4,4.4,14.2,,8.1,320,4.9,59.7,6.6,12,4.7,9
1908-04-28,9,2.2,17.1,,6.2,360,4.6,59,6.2,12.5,0.3,9.3
1908-04-29,10.8,1.5,19.6,,4.8,270,2.9,58,6.3,12,1.7,8.5
1908-04-30,14.6,7.1,22.2,,2.7,90,1.9,59.7,9.1,6.5,10,7.7
1908-05-01,16.3,8.1,24.2,,5.5,140,3.4,50.3,8.5,11.6,5.3,11.6
1908-05-02,12.3,9.9,16.1,16.5,6.1,90,3.8,88.3,12.6,0.7,8,4
1908-05-03,13.6,9.7,19,,4.6,270,2.3,74,11.4,7.4,5.3,6.1
1908-05-04,12.3,5.2,20.1,,6.5,320,3.4,58.3,7.2,11.5,3.3,8.5
1908-05-05,13.9,8.2,20.5,,6.9,230,3.9,73,11.5,12,5.7,6.8
1908-05-06,15,7.9,22.9,0,10.5,250,4.3,64,10.1,10,4.7,7.1
1908-05-07,16.9,9.8,24.6,,9.7,270,3,65.3,12.5,9.9,5,9.1
1908-05-08,17.1,11.2,24.3,,13.7,270,4.5,72,13.3,9.6,9.7,10
1908-05-09,17.3,13.3,23.5,0.2,7.7,270,4.2,75,14,10.5,8.7,6.6
1908-05-10,18,13.6,24.9,1,11.7,270,3.2,69.7,15.3,10.9,4.7,7.3
1908-05-11,13,10.2,17.9,,5.7,270,5.6,69.7,9.8,6.4,6.3,5.3
1908-05-12,9.2,7.6,14.3,3.9,9.7,290,5.9,81.7,9.4,8.9,4.3,5.5
1908-05-13,12.3,6.3,17.3,0,9.4,230,5.4,70,9.7,9.6,1,5.3
1908-05-14,12.5,5.7,20.1,,7.8,360,4.4,64.7,8.6,12.5,3.7,6.9
1908-05-15,14.8,5.5,24,,0.9,230,2.3,61.3,9.3,12.6,5.7,7.5
1908-05-16,13.3,10.9,18.5,5.6,8.7,50,2.1,74,11.2,0,10,2.9
1908-05-17,14,11.1,18,5,11.5,320,5.7,75.7,11.8,11.3,5,5.5
1908-05-18,15.2,8.2,23.2,,9.9,200,5.6,75,12.4,13,0.7,8.7
1908-05-19,16.7,10.9,24.2,,9.8,250,3.7,80.7,15.2,9.4,6.3,6
1908-05-20,15.7,12.7,21,1.7,4.8,290,4.3,88.7,15.5,4.7,6.7,4.2
1908-05-21,15.9,8.9,24.1,0,7.8,320,2.7,75.7,13,12.8,2,6.9
1908-05-22,13.8,12.4,18,5.9,8.7,250,3.2,99,15.5,0,10,1.3
1908-05-23,13.6,10.8,19.2,0.8,7.3,230,5,88.3,13.4,8.8,6.3,4.5
1908-05-24,14.2,9.5,19.5,0.1,2.2,50,2.3,85,13.6,8.2,6.3,4.4
1908-05-25,16.7,10.2,25.2,,12.2,230,2.8,68.7,11.9,12.9,3.3,7.6
1908-05-26,16.8,12.3,22.1,1.5,10.4,20,2.2,77.3,14.3,1,10,3.7
1908-05-27,16.7,15,18.5,21,4.7,50,4.1,95.3,18,0,10,0.1
1908-05-28,16.9,13.1,20.8,0.1,9,70,6.6,77,14.6,10.7,6.3,6.5
1908-05-29,15.9,11.2,21.4,8,3.7,360,4.7,80.3,14.2,13,5.7,5.6
1908-05-30,16.9,10.6,24.5,,3.3,270,3,68.7,12.6,4,0.7,7
1908-05-31,13.6,10.4,23.5,,6.7,200,3.5,77,13.9,11.6,0.7,7
1908-06-01,18.8,13.5,26.2,0,6.9,230,3.5,73.7,15.1,13.2,3,6.8
1908-06-02,19.4,13,28,,5.2,230,3.2,75.7,15.9,13.3,3.3,7.7
1908-06-03,20.3,14.3,28.3,,9.1,270,3.2,66.7,15,12.5,6.3,7.9
1908-06-04,20,12.7,29.1,,4.8,270,3.2,67,14.4,12.9,2.3,8.9
1908-06-05,18,14.4,24.9,0.3,4.2,270,2.6,90,15.2,4.4,9.7,4.9
1908-06-06,19.1,15.8,24.8,,8.4,270,4.6,75.7,16,8.4,6.3,6.5
1908-06-07,18.9,15.3,24.8,,8.1,270,5.5,69.3,14.4,12,3,7.4
1908-06-08,19.3,11.6,27.5,0,7.7,230,3.7,63,12.8,13.6,2.3,8.7
1908-06-09,20.7,12.6,28.9,,4.5,200,2.6,52.7,11.4,13.5,9,9.3
1908-06-10,20.3,14.5,27.5,,4.7,290,2.8,61.3,13.8,8.5,6.7,8.2
1908-06-11,21.5,15.9,28.9,0,4.4,230,2.5,68.3,16.7,5.2,10,5.1
1908-06-12,19.7,17,24.5,14.2,4.5,50,2.7,83.3,18.5,2.7,10,4.4
1908-06-13,20.8,16.6,26.1,,5.2,270,2.5,74.3,17.7,9.8,8,4.6
1908-06-14,21.2,17,27.6,4.3,3.3,90,3.5,72.3,17.8,11,8.3,6
1908-06-15,23.1,17.3,29.5,0,5.2,180,2.8,64.3,17.4,9.2,8,5.7
1908-06-16,21.2,18.1,26.5,0,4.1,270,2.5,77.3,18.8,6.1,4.7,5.2
1908-06-17,21.1,15.5,27,1.7,7.6,90,2.5,78,18.7,7.9,10,4.9
1908-06-18,18.8,17,23.5,28.7,11.6,200,8.4,88.3,18.8,1.3,10,1.9
1908-06-19,17.6,16.6,21.2,11.3,6.5,230,5.6,93,18.5,3.1,8.7,1.6
1908-06-20,20.3,16.8,25.8,0,1.7,200,1.5,85,20,5.1,6.7,3.9
1908-06-21,21.6,16.7,28,,5.5,250,1.9,81.7,20.4,11.5,7.7,4.8
1908-06-22,23.6,18.6,29.1,,2.6,90,2.1,77,21.5,10.1,6.7,4.8
1908-06-23,24.4,18.3,32.4,0.1,1.7,200,2.2,76.7,22.3,12.5,4,7
1908-06-24,23.7,19.5,31,,6.4,290,3,79.7,22.9,10.4,6.7,7
1908-06-25,20.1,18.7,22.1,12.3,7.7,70,5.1,89,20.9,0,10,2.5
1908-06-26,22.9,18.5,29.4,5.1,3.3,290,3.3,75.7,20.3,11.1,9,6.1
1908-06-27,23.7,19.3,29.6,,3.2,290,2.3,75.3,21.2,11.1,9.3,7.3
1908-06-28,20.6,19.5,23,20.1,7.4,70,5,89.7,21.5,0,9.3,1.4
1908-06-29,22.1,19.3,26.4,,5,90,3.5,71.3,18.7,8.2,7,5
1908-06-30,19.5,16.3,23.5,9,8.4,110,3.4,81,18,4.4,8,1.1
1908-07-01,20.1,15.9,23.7,6,4.7,20,4.5,75,17.4,2.6,8,4.1
1908-07-02,20.3,16.7,25.9,0.4,5.7,270,3.3,86.3,19.2,10.9,3,5.7
1908-07-03,22.3,16.6,28.5,,2.4,110,2,78.3,20.6,10.3,6.7,6.1
1908-07-04,20.2,18.2,23,,5.9,70,4.1,69.7,16.4,1.4,10,2.8
1908-07-05,20.7,16.5,26.5,,7.9,90,6.2,61.3,14.8,13.4,8.3,7.3
1908-07-06,21.3,14.7,27.2,,4.2,50,4,69.3,16.9,13.7,3.7,7.5
1908-07-07,23.5,17.3,30.3,,5.2,140,3.8,69,19.3,13.5,0.3,8.2
1908-07-08,23.1,19.5,27.6,0.9,4,90,3,78.7,21.7,5.4,9.3,4.6
